note,lang
higos y a níspero,es
frutos secos como la avellana y la nuez de California,es
"cacao en polvo, almíbar y uvas verdes",es
naranja confitada y chocolate 70%,es
"Así pues podréis obtener tanto un perfil Achocolatado como uno floral, afrutado, dulce",es
"paraguayo, limón confitado y una nota herbal que nos recuerda al té blanco",es
"peras en almíbar, miel de flores y kiwi amarillo",es
"orejones, kiwi y piña, con una acidez brillante y un cuerpo jugoso que envuelve el paladar",es
"Este café se caracteriza por sus notas principales de kaki, miel y dulce de leche, que ofrecen una experiencia dulce y jugosa",es
Tiene un cuerpo cremoso y una acidez jugosa,es
"La AeroPress es una cafetera manual revolucionaria que permite preparar café limpio, aromático y con cuerpo en menos de 2 minutos",es
"En concreto, miel de romero, caramelo de limón y hierba luisa",es
"El cuerpo lo podemos definir como terso, con una acidez jugosa",es
"nueces y avellana principalmente, junto con notas afrutadas que nos recuerdan a la pera y a la ciruela",es
"nueces y avellana principalmente, junto con notas afrutadas que nos recuerdan a la pera y a la ciruela",es
"A través de sesiones dinámicas, ejercicios de calibración y catas guiadas, profundizaremos en conceptos clave como la percepción de acidez, dulzor, cuerpo y limpieza en taza",es
"En boca es dulce y cremoso con un retrogusto largo y agradable a chocolate, pasas y dátiles",es
"yuzu, kiwi amarillo y orejones que definen una taza fresca y muy expresiva",es
"En taza aparecen notas nítidas de cereza madura y arándano, envueltas por un recuerdo de cacao nibs y chocolate 70%",es
"El resultado es un perfil jugoso, con dulzor limpio y una acidez viva que lo hacen expresivo y fácil de recordar",es
"En taza aparecen notas nítidas de cereza madura y arándano, envueltas por un recuerdo de cacao nibs y chocolate 70%",es
"El resultado es un perfil jugoso, con dulzor limpio y una acidez viva que lo hacen expresivo y fácil de recordar",es
"Este café se caracteriza por sus notas principales de kaki, miel y dulce de leche, que ofrecen una experiencia dulce y jugosa",es
Tiene un cuerpo cremoso y una acidez jugosa,es
"A medida que se desarrolla en taza, emergen matices de 80% chocolate, cacao en polvo, y un toque de caramelo",es
Tiene un cuerpo terso y una acidez suave y balanceada,es
"higos, chocolate con leche y cereza",es
"uva moscatel, manteca de cacao y hierbaluisa",es
"orejones, kiwi y piña, con una acidez brillante y un cuerpo jugoso que envuelve el paladar",es
"pera, manzanilla y níspero",es
papaya y melón,es
"cacao nibs, lychee y piña, acompañadas por matices de mango, piel de cítricos, cereza y un fondo de cacao en polvo",es
Un café dulce y jugoso con aromas de flor de Jamaica y miel,es
"En taza, la ciruela amarilla aporta frescura y acidez brillante, mientras que el chocolate 70 % ofrece cuerpo y profundidad",es
"cítricos, kiwi amarillo y melocotón",es
"Caramelo, almendras y chocolate con leche emergen en la taza, sostenidos por un cuerpo redondo y una acidez jugosa",es
"Uso de herramientas como el refractómetro para medir TDS y extracción Elaboración de recetas optimizadas según origen, proceso y perfil del café Técnicas de cata y evaluación sensorial para ajustar la",es
"Es un café con una acidez muy suave, un cuerpo muy redondo, y muy fácil de beber con leche, además de tener un ligero retrogusto a manzana golden que también hará las delicias de los cafeteros más exigentes",es
"Su fórmula de rápida disolución y fácil enjuague elimina aceites, residuos y manchas, sin interferir el sabor y el aroma de tus espressos",es
sabor presentes en cada taza,es
un café,es
sabor presentes en cada taza,es
"lavanda, fresa e hibisco",es
"piña, albaricoque y toffee",es
"En boca, café con muy buen cuerpo, denso y notas a miel",es
frambuesa y nectarina,es
"frutas amarillas, champagne, y dulzor a miel",es
"sandía, lúpulo y rosa",es
"vino naranja, clavo y hoja de higuera",es
frutos rojos y kiwi,es
"mora, brownie y golosina",es
"frutos rojos, té verde y vino rosado",es
"chocolate con leche, malta y caramelo",es
"La cafetera E6 es fácil de manejar y, gracias al mecanismo de molienda profesional y el proceso de extracción por pulsos, asegura máximo sabor y aroma en las preparaciones de Espresso y bebidas con leche",es
La E4 asegura el máximo sabor y aroma con la mínima complejidad en las preparaciones de Espresso,es
tu café,es
"Con su fórmula soluble y de enjuague libre, el detergente EVO elimina los aceites, posos y manchas del café ayudando a que tu café conserve el aroma y sabor",es
por región,es
"¡Prepárate a conocerlos! Más allá de su aroma y sabor inconfundibles, varios estudios han demostrado que ayuda a prevenir ciertos tipos de cáncer",es
